CDB_ID,Party_NumberĿ,Account(Customer_Name),Country_Code_Only
531,230812,Mobilis Telecom Algerie,DZ
532,230813,JIANGXI JEMINCARE GROUP CO. LTD,CN
533,230814,MAGISTRAT DER STADT SALZBURG,AT
534,230815,STYRELSEN FOR IT OG LAERING,DK
535,230816,INTESA SANPAOLO S.P.A,IT
537,230817,LEAN BUSINESS SERVICES,SA
541,230818,CGI IT UK LTD,GB
542,230819,SP GROUP CIIMAN,SG
543,230820,SOUTHERN CALIFORNIA EDISON COMPANY,US
545,230821,CHCL,GR
547,230822,NOVO NORDISK,US
548,230823,NATIONAL LIBRARY BOARD,SG
551,230824,ATOS IT SERVICES UK LTD,GB
553,230825,LONDON STOCK EXCHANGE GROUP,GB
554,230826,HDFC - ERGO GENERAL INSURANCE COMPANY LTD,IN
555,230827,LONDON BOROUGH OF BROMLEY,GB
557,230828,AL BANK AL SAUDI AL FRANSI BSF,SA
559,230829,BANCO BRADESCO S/A,BR
560,230830,SAUDI ARAMCO TOTAL REFINING AND PETROCHEMICALS CO,SA
564,230831,ANTEMETA,FR
565,230832,KONICA MINOLTA BUSINESS SOLUTIONS EUROPE GMBH,DE
569,230833,TELEFONICA O2 UK LTD,GB
570,230834,POWSZECHNY ZAKLAD UBEZPIECZEN SA,PL
572,230835,COGNIZANT TECHNOLOGY SOLUTIONS INDIA PRIVATE LTD,US
573,230836,SOCIETE IVOIRIENNE DE BANQUE (SIB),CI
574,230837,IAG,GB
576,230838,NIELSEN MEDIA,US
577,230839,TORONTO PUBLIC LIBRARY,CA
578,230840,PRINCE WILLIAM COUNTY SERVICE AUTHORITY,US
579,230841,CANADIAN BLOOD SERVICES,CA
585,230842,JERSEY TELECOM,JE
587,230843,FONDAZIONE POLICLINICO UNIVERSITARIO CAMPUS BIO-MEDICO,IT
590,230844,AIRBUS OPERATION SAS,FR
592,230845,ARVAL,FR
593,230846,"SHANGHAI JIN JIANG INTERNATIONALE-COMMERCE CO., LTD.",CN
599,230847,KUWAIT REAL ESTATE INVESTMENT CONSORTIUM,KW
600,230848,CAPITEC BANK,ZA
602,230849,IMC BV,NL
603,230850,MTN,ZA
604,230851,DONNELL SYSTEMS,US
606,230852,ALLIANCEBERNSTIEN,US
607,230853,TORONTO ZOO,CA
608,230854,MAN ENERGY SOLUTIONS,DK
609,230855,NETWORK OF INTERNATIONAL,AE
614,230856,OCP,MA
617,230857,PHI SERVICE CO,US
620,230858,EUROPEAN COMMISSION DG OLAF,BE
622,230859,GLS,FR
627,230860,TSYS,GB
634,230861,BLUE CROSS BLUE SHIELD OF KANSAS CITY,US
636,230862,JAMAICA MONEY MARKET BROKERS LTD,JM
637,230863,GLOBAL FOUNDRIES,DE
638,230864,MAN DIESEL & TURBO SE,DK
639,230865,SEARS HOLDING CORP,IN
640,230866,ENSONO LTD,GB
641,230867,BONTOUR LTD,IL
642,230868,ESURE INSURANCE LTD,IN
644,230869,EURONEXT NYSE,GB
645,230870,MIZRAHI BANK,IL
646,230871,DEFENSE SECURITY SERVICE,US
647,230872,INFORMATION TECHNOLOGY DEPARTMENT,US
649,230873,PERATON INC,US
650,230874,DLT SOLUTIONS INC,US
651,230875,EQUIFAX INC,US
652,230876,BUREAU OF THE CENSUS,US
653,230877,TELECOM ITALIA S.P.A.,IT
654,230878,NATIONAL WESTMINSTER BANK PLC,GB
655,230879,BANK OF AFRICA GROUP,KE
656,230880,MASSACHUSETTS FINANCIAL SERVICES,US
657,230881,"MARSH & MCLENNAN COMPANIES, INC.",US
658,230882,SUNCOR ENERGY INC,CA
659,230883,PEPSICO INC,IN
660,230884,ORDNANCE SURVEY IRELAND,IE
662,230885,TRAFIGURA LTD,GB
663,230886,TELECOMUNICACIONES DIGITALES S.A.,PA
665,230887,BAY AREA RAPID TRANSIT,US
669,230888,CRAYOLA,US
671,230889,LIGHT SERVICOS DE ELETRICIDADE SA,BR
672,230890,TIME WARNER INC,US
673,230891,BOSTON CHILDRENS HOSPITAL,US
674,230892,DEMIR EXPORT AS,TR
676,230893,DXC VPC Team,US
678,230894,METHODIST HOSPITAL,US
679,230895,AETNA,US
680,230896,MITSUBISHI UFJ FUND SERVICES,BM
681,230897,TEXAS GENERAL LAND OFFICE,US
682,230898,FOSSIL LP,TW
683,230899,BROWN FORMAN,US
684,230900,UNIVERSITY OF VIRGINIA MEDICAL CENTER,US
686,230901,BLOOMBERG FINANCE L.P.,US
687,230902,PZ CUSSONS INTERNATIONAL,GB
690,230903,BNP PARIBAS SUCURSAL BUENOS AIRES,AR
692,230904,PENSION BENEFIT GUARANTEE CORP,US
693,230905,TRACFONE WIRELESS,US
697,230906,HQ USSOCOM,US
698,230907,RAYTHEON CO,IN
699,230908,ARROW ELECTRONICS INC,US
702,230909,BLUE CROSS BLUE SHIELD ASSOCIATION,US
703,230910,UNITED BIOSOURCE CORP,US
705,230911,IDT,US
709,230912,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,US
710,230913,ALGAR TELECOM,BR
712,230914,BICE VIDA COMPANIA DE SEGUROS S.A.,GT
714,230915,ALIGHT SOLUTIONS LLC,US
718,230916,SAVVIS,US
720,230917,DATACOM SYSTEMS LTD,NZ
722,230918,Intalock Technologies Pty Ltd,AU
